location;date;trend
Spain;2020-01-02;Macas
Spain;2020-01-02;Soy Ligeramente
Spain;2020-01-02;Marianne
Spain;2020-01-02;Atípico
Spain;2020-01-02;Mortal
Spain;2020-01-02;#PropósitosParaCompartir
Spain;2020-01-02;Desencanto
Spain;2020-01-02;#TomaDeGranada
Spain;2020-01-02;#OurHappinessJISOODay
Spain;2020-01-02;Bélgica
Spain;2020-01-02;#Spexit
Spain;2020-01-02;#FrenarASánchez
Spain;2020-01-02;Arrimadas
Spain;2020-01-02;Barcelona
Spain;2020-01-02;Bilbao
Spain;2020-01-02;Las Palmas
Spain;2020-01-02;Madrid
Spain;2020-01-02;Malaga
Spain;2020-01-02;Murcia
Spain;2020-01-02;Palma
Spain;2020-01-02;Seville
Spain;2020-01-02;Valencia
Spain;2020-01-02;Zaragoza
Spain;2020-01-03;#ServiryProteger
Spain;2020-01-03;#BuhoComoTu3E
Spain;2020-01-03;#ConcursoAñoReyes
Spain;2020-01-03;#ExtremaduraAlcorcón
Spain;2020-01-03;#BabyInTheOven
Spain;2020-01-03;#AnneWithAnE
Spain;2020-01-03;#XboxGamePass
Spain;2020-01-03;#qassemsuleimani
Spain;2020-01-03;#SomosLaAudiencia3E
Spain;2020-01-03;#MarlaskaDimisionYa
Spain;2020-01-03;#ElVecinoNetflix
Spain;2020-01-03;#CariMeDejasTuMóvil
Spain;2020-01-03;#ReinasDeSanMamés
Spain;2020-01-03;#ElMagoPoPEnFnac
Spain;2020-01-03;#CantKeepUsFromMX7
Spain;2020-01-03;#reyesdehonor
Spain;2020-01-03;#todoesmentira3E
Spain;2020-01-03;#wwlll
Spain;2020-01-03;#MeLoRegalo
Spain;2020-01-03;#worldwar3
Spain;2020-01-03;#LGK50enPhoneHouse
Spain;2020-01-03;#YoConMiPancarta
Spain;2020-01-03;martial
Spain;2020-01-03;Seungri
Spain;2020-01-03;chantaje
Spain;2020-01-03;Plata 1
Spain;2020-01-03;iiiww
Spain;2020-01-03;Ernesto Valverde
Spain;2020-01-03;MI PATRIA
Spain;2020-01-03;Bush
Spain;2020-01-03;Los Chikos del Maíz
Spain;2020-01-03;Hatsune Miku
Spain;2020-01-03;Policía Nacional
Spain;2020-01-03;Googlear
Spain;2020-01-03;La Abogacía del Estado
Spain;2020-01-03;Card
Spain;2020-01-03;Imanol Alguacil
Spain;2020-01-03;González Pons
Spain;2020-01-03;Celsius
Spain;2020-01-03;Elena Tablada
Spain;2020-01-03;Ley Mordaza
Spain;2020-01-03;Ferraz
Spain;2020-01-03;#EspañaExiste
Spain;2020-01-03;El BNG
Spain;2020-01-03;#EPParaRaoul2020
Spain;2020-01-03;III Guerra Mundial
Spain;2020-01-03;Quim Torra
Spain;2020-01-03;#BoicotTeruel
Spain;2020-01-03;#WWIII
Spain;2020-01-03;#ReyesNintenderos
Spain;2020-01-03;Barcelona
Spain;2020-01-03;Bilbao
Spain;2020-01-03;Las Palmas
Spain;2020-01-03;Madrid
Spain;2020-01-03;Malaga
Spain;2020-01-03;Murcia
Spain;2020-01-03;Palma
Spain;2020-01-03;Seville
Spain;2020-01-03;Valencia
Spain;2020-01-03;Zaragoza
Spain;2020-01-04;#TenerifeAlbacete
Spain;2020-01-04;#RMLiga
Spain;2020-01-04;#PonferradinaCádiz
Spain;2020-01-04;#HeraldoReal2020
Spain;2020-01-04;Arambarri
Spain;2020-01-04;Axel Torres
Spain;2020-01-04;Néstor Rego
Spain;2020-01-04;Thibaut
Spain;2020-01-04;Owusu
Spain;2020-01-04;Cabrera
Spain;2020-01-04;areola
Spain;2020-01-04;Jorge Molina
Spain;2020-01-04;Mestalla
Spain;2020-01-04;High School Musical
Spain;2020-01-04;Eibar
Spain;2020-01-04;quiles
Spain;2020-01-04;Alberto Garzón
Spain;2020-01-04;Tomás Guitarte
Spain;2020-01-04;Quezada
Spain;2020-01-04;#PleTorraTV3
Spain;2020-01-04;Laura Borrás
Spain;2020-01-04;#YummyMusicVideo
Spain;2020-01-04;Baldoví
Spain;2020-01-04;#VivaLaVida259
Spain;2020-01-04;Garrido
Spain;2020-01-04;valdano
Spain;2020-01-04;Jaume Asens
Spain;2020-01-04;Vini
Spain;2020-01-04;Cucurella
Spain;2020-01-04;Militao
Spain;2020-01-04;Maroto
Spain;2020-01-04;Keylor
Spain;2020-01-04;Más Pérez Galdós
Spain;2020-01-04;Coliseum
Spain;2020-01-04;Kroos
Spain;2020-01-04;Coalición Canaria
Spain;2020-01-04;#UnPaísParaSuGente
Spain;2020-01-04;Modric
Spain;2020-01-04;Jovic
Spain;2020-01-04;Isco
Spain;2020-01-04;Mendy
Spain;2020-01-04;Bale
Spain;2020-01-04;Pablo Iglesias
Spain;2020-01-04;Fede Valverde
Spain;2020-01-04;Varane
Spain;2020-01-04;Abascal
Spain;2020-01-04;Ana Oramas
Spain;2020-01-04;#debateinvestidura
Spain;2020-01-04;Getafe
Spain;2020-01-04;#worldwar3
Spain;2020-01-04;Barcelona
Spain;2020-01-04;Bilbao
Spain;2020-01-04;Las Palmas
Spain;2020-01-04;Madrid
Spain;2020-01-04;Malaga
Spain;2020-01-04;Murcia
Spain;2020-01-04;Palma
Spain;2020-01-04;Seville
Spain;2020-01-04;Valencia
Spain;2020-01-04;Zaragoza
Spain;2020-01-05;#WWIIl
Spain;2020-01-05;#GanaEspañaGanaLaRegion
Spain;2020-01-05;#GranadaMallorca
Spain;2020-01-05;#PorUnaCoaliciónProgresista
Spain;2020-01-05;#RayoGirona
Spain;2020-01-05;#FACup
Spain;2020-01-05;#FairyShuhuaDay
Spain;2020-01-05;#ADEspecialReyes
Spain;2020-01-05;#RosconXboxKoch
Spain;2020-01-05;Sito
Spain;2020-01-05;Egin
Spain;2020-01-05;Ciencias Políticas
Spain;2020-01-05;You're 99% Jungkook
Spain;2020-01-05;Traicionando a España
Spain;2020-01-05;Pedro Martínez
Spain;2020-01-05;Mollejo
Spain;2020-01-05;Chris Pratt
Spain;2020-01-05;Yeclano
Spain;2020-01-05;ASESINOS
Spain;2020-01-05;American Pie
Spain;2020-01-05;trigueros
Spain;2020-01-05;Numancia
Spain;2020-01-05;Loren
Spain;2020-01-05;Pochettino
Spain;2020-01-05;El Parlamento
Spain;2020-01-05;High School Musical 2
Spain;2020-01-05;Múgica
Spain;2020-01-05;Kingdom Hearts
Spain;2020-01-05;mendizorroza
Spain;2020-01-05;Suárez Illana
Spain;2020-01-05;Alavés
Spain;2020-01-05;Escondite
Spain;2020-01-05;Pacheco
Spain;2020-01-05;Anoeta
Spain;2020-01-05;Manuel Castells
Spain;2020-01-05;#CabalgataSev20
Spain;2020-01-05;aleix vidal
Spain;2020-01-05;Zubeldia
Spain;2020-01-05;Wakaso
Spain;2020-01-05;#VivaLaVida260
Spain;2020-01-05;#GoldenGlobes
Spain;2020-01-05;Borja Iglesias
Spain;2020-01-05;Felices Reyes
Spain;2020-01-05;Irene Montero
Spain;2020-01-05;Villarreal
Spain;2020-01-05;#GianmarcoNoEstáSolo
Spain;2020-01-05;Consumo
Spain;2020-01-05;#IThinkILoveJBDay
Spain;2020-01-05;Mateu Lahoz
Spain;2020-01-05;Fekir
Spain;2020-01-05;Barcelona
Spain;2020-01-05;Bilbao
Spain;2020-01-05;Las Palmas
Spain;2020-01-05;Madrid
Spain;2020-01-05;Malaga
Spain;2020-01-05;Murcia
Spain;2020-01-05;Palma
Spain;2020-01-05;Seville
Spain;2020-01-05;Valencia
Spain;2020-01-05;Zaragoza
Spain;2020-01-06;#MiCamisetaEsPara
Spain;2020-01-06;#BuhoComoTu6E
Spain;2020-01-06;#ayaxiaclasicosilustrados
Spain;2020-01-06;#arenalsound2020
Spain;2020-01-06;#MachismoMata
Spain;2020-01-06;#Jugones
Spain;2020-01-06;#Action_To_Answer
Spain;2020-01-06;#WINTERFLOWER
Spain;2020-01-06;#NewMutants
Spain;2020-01-06;#NiUnaMenos
Spain;2020-01-06;#always_with_twice
Spain;2020-01-06;#LoteriaDelNino
Spain;2020-01-06;#LosReyesConChollometro
Spain;2020-01-06;#ViolenciaMachista
Spain;2020-01-06;#FelizLunes
Spain;2020-01-06;#WeTrustX1
Spain;2020-01-06;#ReinasDelFútbol
Spain;2020-01-06;#ReyesBandaiViewsonic
Spain;2020-01-06;#우리_정국이_사랑해
Spain;2020-01-06;#PascuaMilitar
Spain;2020-01-06;#TraedlosACasa
Spain;2020-01-06;#CervezasLaVirgen
Spain;2020-01-06;Pau Torres
Spain;2020-01-06;higurashi
Spain;2020-01-06;gracias reyes magos
Spain;2020-01-06;Ropa
Spain;2020-01-06;España y la Constitución
Spain;2020-01-06;Seungwoo
Spain;2020-01-06;Aragón y Valencia
Spain;2020-01-06;arenal sound
Spain;2020-01-06;Lotería del Niño
Spain;2020-01-06;Obtuve Tu
Spain;2020-01-06;Esplugues de Llobregat
Spain;2020-01-06;Dolors
Spain;2020-01-06;San Siro
Spain;2020-01-06;De Rossi
Spain;2020-01-06;The Holiday
Spain;2020-01-06;Atalanta
Spain;2020-01-06;Fuerzas Armadas
Spain;2020-01-06;Cagliari
Spain;2020-01-06;Danna Paola
Spain;2020-01-06;Ricky Gervais
Spain;2020-01-06;La Eurocámara
Spain;2020-01-06;Supercopa
Spain;2020-01-06;#rosconxboxnewskill
Spain;2020-01-06;#ARMYSelcaDay
Spain;2020-01-06;Parlamento Europeo
Spain;2020-01-06;#DaddyYankeeArenalSound
Spain;2020-01-06;#ReyesUBEAT
Spain;2020-01-06;#CajaDeTelepi
Spain;2020-01-06;Barcelona
Spain;2020-01-06;Bilbao
Spain;2020-01-06;Las Palmas
Spain;2020-01-06;Madrid
Spain;2020-01-06;Malaga
Spain;2020-01-06;Murcia
Spain;2020-01-06;Palma
Spain;2020-01-06;Seville
Spain;2020-01-06;Valencia
Spain;2020-01-06;Zaragoza
Spain;2020-01-07;#VamosRZ
Spain;2020-01-07;#ManchesterDerby
Spain;2020-01-07;#logitravelbirratour
Spain;2020-01-07;#EspañaNoEsUnMito
Spain;2020-01-07;#UnFuturoIlusionante
Spain;2020-01-07;#EneroCuestaMenosConHTCMania
Spain;2020-01-07;#TeAlquilo7E
Spain;2020-01-07;#GetWellSoonHaseul
Spain;2020-01-07;#LosOtrosdeMovistar
Spain;2020-01-07;#ElCascabel7E
Spain;2020-01-07;#CarminaBarriosEH
Spain;2020-01-07;#DakarTVE7EN
Spain;2020-01-07;#lanoche24h
Spain;2020-01-07;#ElIntermedioInvestidura
Spain;2020-01-07;#167traidores
Spain;2020-01-07;sadio mané
Spain;2020-01-07;Batista
Spain;2020-01-07;Raúl Guti
Spain;2020-01-07;Wind River
Spain;2020-01-07;Wyoming
Spain;2020-01-07;mariño
Spain;2020-01-07;Ánimo Tomás
Spain;2020-01-07;sterling
Spain;2020-01-07;Raúl de Tomás
Spain;2020-01-07;Cordero
Spain;2020-01-07;Al Thani
Spain;2020-01-07;Darko Kovacevic
Spain;2020-01-07;Malaga
Spain;2020-01-07;Carlos Herrera
Spain;2020-01-07;Vigaray
Spain;2020-01-07;Policías
Spain;2020-01-07;Manu García
Spain;2020-01-07;Carmona
Spain;2020-01-07;Los Juegos del Hambre
Spain;2020-01-07;La Romareda
Spain;2020-01-07;Old Trafford
Spain;2020-01-07;de bruyne
Spain;2020-01-07;Javi Fuego
Spain;2020-01-07;el málaga
Spain;2020-01-07;Djukic
Spain;2020-01-07;Bernardo Silva
Spain;2020-01-07;Molinero
Spain;2020-01-07;Vox Teruel
Spain;2020-01-07;Cristina Cifuentes
Spain;2020-01-07;Víctor
Spain;2020-01-07;#CachitosDespropositos
Spain;2020-01-07;#firstdates7e
Spain;2020-01-07;#tuiteacomouncomunista
Spain;2020-01-07;#VictorNoSeToca
Spain;2020-01-07;#EscuchandoCórdobayJaén
Spain;2020-01-07;Barcelona
Spain;2020-01-07;Bilbao
Spain;2020-01-07;Las Palmas
Spain;2020-01-07;Madrid
Spain;2020-01-07;Malaga
Spain;2020-01-07;Murcia
Spain;2020-01-07;Palma
Spain;2020-01-07;Seville
Spain;2020-01-07;Valencia
Spain;2020-01-07;Zaragoza
Spain;2020-01-08;#BestMusicVideo
Spain;2020-01-08;#venacenarpascual
Spain;2020-01-08;#AMiNoMeHables
Spain;2020-01-08;#LaNoche24h
Spain;2020-01-08;#jungkookday
Spain;2020-01-08;#protocolocontaminacion
Spain;2020-01-08;#ElCascabel8E
Spain;2020-01-08;#TeAlquilo8E
Spain;2020-01-08;#DakarTVE8EN
Spain;2020-01-08;#iHeartAwards
Spain;2020-01-08;#GFVIP
Spain;2020-01-08;#ParaQuéReyes
Spain;2020-01-08;#EscalaSur8
Spain;2020-01-08;Zizou
Spain;2020-01-08;M-30
Spain;2020-01-08;Soler
Spain;2020-01-08;Campeón de Copa
Spain;2020-01-08;Golazo
Spain;2020-01-08;Cillessen
Spain;2020-01-08;coquelin
Spain;2020-01-08;Albert Abascal
Spain;2020-01-08;Lidón
Spain;2020-01-08;Gil Manzano
Spain;2020-01-08;Leguina
Spain;2020-01-08;Robinson
Spain;2020-01-08;Kondogbia
Spain;2020-01-08;Lukita
Spain;2020-01-08;Meghan
Spain;2020-01-08;Gameiro
Spain;2020-01-08;Carlos Martínez
Spain;2020-01-08;Marcelo
Spain;2020-01-08;Parejo
Spain;2020-01-08;Mariano
Spain;2020-01-08;Jaume
Spain;2020-01-08;Rubiales
Spain;2020-01-08;#ElGranDictador
Spain;2020-01-08;Jovic
Spain;2020-01-08;#FirstDates8E
Spain;2020-01-08;#YoVoyATeruel
Spain;2020-01-08;Isco
Spain;2020-01-08;Modric
Spain;2020-01-08;#SmithLawrenceEH
Spain;2020-01-08;#PlanetaCalleja
Spain;2020-01-08;Valencia
Spain;2020-01-08;#ValenciaRealMadrid
Spain;2020-01-08;#SomosLaAudiencia8E
Spain;2020-01-08;#8Ene
Spain;2020-01-08;#jugones
Spain;2020-01-08;#Cecotec
Spain;2020-01-08;#VictorSanchezDelAmo
Spain;2020-01-08;Barcelona
Spain;2020-01-08;Bilbao
Spain;2020-01-08;Las Palmas
Spain;2020-01-08;Madrid
Spain;2020-01-08;Malaga
Spain;2020-01-08;Murcia
Spain;2020-01-08;Palma
Spain;2020-01-08;Seville
Spain;2020-01-08;Valencia
Spain;2020-01-08;Zaragoza
Spain;2020-01-09;#frac1
Spain;2020-01-09;#DakarTVE9EN
Spain;2020-01-09;#IglesiasMotaEH
Spain;2020-01-09;#PokemonEXNintenderosIG
Spain;2020-01-09;González González
Spain;2020-01-09;MYHYV
Spain;2020-01-09;VARcelona
Spain;2020-01-09;lodi
Spain;2020-01-09;Robo
Spain;2020-01-09;Ansu Fati
Spain;2020-01-09;Zalgiris
Spain;2020-01-09;Roma y Liverpool
Spain;2020-01-09;Saúl
Spain;2020-01-09;Sergi Roberto
Spain;2020-01-09;Busquets
Spain;2020-01-09;Bartomeu
Spain;2020-01-09;Savic
Spain;2020-01-09;Morata
Spain;2020-01-09;Vitolo
Spain;2020-01-09;Llorente
Spain;2020-01-09;Umtiti
Spain;2020-01-09;Simeone
Spain;2020-01-09;Rubiales
Spain;2020-01-09;#CuentameQueNoche
Spain;2020-01-09;Cholo
Spain;2020-01-09;Vidal
Spain;2020-01-09;Griezmann
Spain;2020-01-09;Neto
Spain;2020-01-09;#FirstDates9E
Spain;2020-01-09;#PesadillaCantábrico
Spain;2020-01-09;Jordi Alba
Spain;2020-01-09;El VAR
Spain;2020-01-09;#LaTauromaquiaNoSeToca
Spain;2020-01-09;Supercopa
Spain;2020-01-09;Atlético
Spain;2020-01-09;Piqué
Spain;2020-01-09;Atleti
Spain;2020-01-09;Messi
Spain;2020-01-09;Valverde
Spain;2020-01-09;#LaIslaDeLasTentaciones1
Spain;2020-01-09;#season2020
Spain;2020-01-09;#Marchena
Spain;2020-01-09;#ProtocoloContaminacion
Spain;2020-01-09;#EsTiempoDeMujeres
Spain;2020-01-09;#RAREday
Spain;2020-01-09;#AlClímaxConPhoneHouse
Spain;2020-01-09;#AOTennis2Nacon
Spain;2020-01-09;#legislaturaarv
Spain;2020-01-09;Erik Morán
Spain;2020-01-09;Medvedev
Spain;2020-01-09;Barcelona
Spain;2020-01-09;Bilbao
Spain;2020-01-09;Las Palmas
Spain;2020-01-09;Madrid
Spain;2020-01-09;Malaga
Spain;2020-01-09;Murcia
Spain;2020-01-09;Palma
Spain;2020-01-09;Seville
Spain;2020-01-09;Valencia
Spain;2020-01-09;Zaragoza
Spain;2020-01-10;#1917Movie
Spain;2020-01-10;#MilenioLive
Spain;2020-01-10;#yoveosalvame
Spain;2020-01-10;#AhoraCaigo
Spain;2020-01-10;#AuronPlayEstaMamadisimo
Spain;2020-01-10;#UnaSolucionParaUberYa
Spain;2020-01-10;#rtveisoverparty
Spain;2020-01-10;#EuroligaDAZN
Spain;2020-01-10;#AnimeAwards
Spain;2020-01-10;#hispanostve10e
Spain;2020-01-10;#SHUWHU
Spain;2020-01-10;#venacenarjosé
Spain;2020-01-10;#LunaLlena
Spain;2020-01-10;#FaziletNova10Ene
Spain;2020-01-10;#DakarTVE10EN
Spain;2020-01-10;#freecodefridaycontest
Spain;2020-01-10;#TeAlquilo10E
Spain;2020-01-10;#SkamEspaña
Spain;2020-01-10;#MiCasaKikoRivera
Spain;2020-01-10;#RareListeningParty
Spain;2020-01-10;Brandon
Spain;2020-01-10;Cascarilla
Spain;2020-01-10;Selecta
Spain;2020-01-10;Paramount
Spain;2020-01-10;Mario Vaquerizo
Spain;2020-01-10;Sábado Deluxe
Spain;2020-01-10;Sheffield
Spain;2020-01-10;José Couso
Spain;2020-01-10;La Junta Electoral Provincial
Spain;2020-01-10;Bob Pop
Spain;2020-01-10;Karev
Spain;2020-01-10;Ánimo Javier
Spain;2020-01-10;Gemeliers
Spain;2020-01-10;Tello
Spain;2020-01-10;Tu Cara Me Suena
Spain;2020-01-10;Efes
Spain;2020-01-10;Hinata
Spain;2020-01-10;Okiku
Spain;2020-01-10;Larkin
Spain;2020-01-10;Shonda
Spain;2020-01-10;Haikyuu
Spain;2020-01-10;NO VALE MENTIR
Spain;2020-01-10;La Eurocámara
Spain;2020-01-10;Delaney
Spain;2020-01-10;Neil Peart
Spain;2020-01-10;#TOTYELCORNER
Spain;2020-01-10;#l6cApocalipsisRojo
Spain;2020-01-10;#FirstDates10E
Spain;2020-01-10;#TuCaraMeSuena
Spain;2020-01-10;#TCMS
Spain;2020-01-10;Barcelona
Spain;2020-01-10;Bilbao
Spain;2020-01-10;Las Palmas
Spain;2020-01-10;Madrid
Spain;2020-01-10;Malaga
Spain;2020-01-10;Murcia
Spain;2020-01-10;Palma
Spain;2020-01-10;Seville
Spain;2020-01-10;Valencia
Spain;2020-01-10;Zaragoza
Spain;2020-01-11;#EHFEURO2020
Spain;2020-01-11;#OrainPresoak
Spain;2020-01-11;#LNFSenGol
Spain;2020-01-11;#VogliamoCanYaman
Spain;2020-01-11;#LaAudienciaConBelen
Spain;2020-01-11;#MilaFueraDeLaTv
Spain;2020-01-11;#VamosCanarias
Spain;2020-01-11;#PabandomIšNaujo
Spain;2020-01-11;#TodosContigoAdara
Spain;2020-01-11;#VivaLaVida261
Spain;2020-01-11;#25Forqué
Spain;2020-01-11;#imaginBankTenerife
Spain;2020-01-11;#HispanosTVE11E
Spain;2020-01-11;#Pray4Calvos
Spain;2020-01-11;#FirstDates11E
Spain;2020-01-11;#SomosUnaCosaSola
Spain;2020-01-11;#nrkmgp
Spain;2020-01-11;#vuelvemila
Spain;2020-01-11;Cultural
Spain;2020-01-11;ospina
Spain;2020-01-11;Lautaro Martínez
Spain;2020-01-11;Tacón
Spain;2020-01-11;El Badajoz
Spain;2020-01-11;Waldo
Spain;2020-01-11;Lo Celso
Spain;2020-01-11;Joaquín Pérez Rey
Spain;2020-01-11;Sestao
Spain;2020-01-11;Cartagonova
Spain;2020-01-11;Firmino
Spain;2020-01-11;Meritxell Batet
Spain;2020-01-11;Felipe II
Spain;2020-01-11;Tottenham
Spain;2020-01-11;Geirmund
Spain;2020-01-11;Bordalás
Spain;2020-01-11;Tamaraceite
Spain;2020-01-11;Paulo Vitor
Spain;2020-01-11;Pellicer
Spain;2020-01-11;villalibre
Spain;2020-01-11;Hugo Duro
Spain;2020-01-11;Mango Rolo
Spain;2020-01-11;Vieri
Spain;2020-01-11;Lunin
Spain;2020-01-11;Atalanta
Spain;2020-01-11;Badalona
Spain;2020-01-11;#CopaDelRey
Spain;2020-01-11;Juan Carlos Campo
Spain;2020-01-11;#MGP2020
Spain;2020-01-11;#cifuenteshabla
Spain;2020-01-11;#L6Nrevilla
Spain;2020-01-11;#L6Nporfingobierno
Spain;2020-01-11;Barcelona
Spain;2020-01-11;Bilbao
Spain;2020-01-11;Las Palmas
Spain;2020-01-11;Madrid
Spain;2020-01-11;Malaga
Spain;2020-01-11;Murcia
Spain;2020-01-11;Palma
Spain;2020-01-11;Seville
Spain;2020-01-11;Valencia
Spain;2020-01-11;Zaragoza
Spain;2020-01-12;#HercaiNova12Ene
Spain;2020-01-12;#ObjetivoZapatero
Spain;2020-01-12;#chiringuitosupercopa
Spain;2020-01-12;OT 2020
Spain;2020-01-12;Pochettino
Spain;2020-01-12;Vinicius
Spain;2020-01-12;Imagine Dragons
Spain;2020-01-12;Texans
Spain;2020-01-12;Petón
Spain;2020-01-12;Saúl
Spain;2020-01-12;Mariano
Spain;2020-01-12;Chiefs
Spain;2020-01-12;Roberto Leal
Spain;2020-01-12;Jovic
Spain;2020-01-12;Natalia Jiménez
Spain;2020-01-12;Rodrygo
Spain;2020-01-12;ramos
Spain;2020-01-12;Oblak
Spain;2020-01-12;Simeone
Spain;2020-01-12;Leiva
Spain;2020-01-12;Misio
Spain;2020-01-12;Maialen
Spain;2020-01-12;fede
Spain;2020-01-12;Valery
Spain;2020-01-12;#CuartoMilenio
Spain;2020-01-12;#GodLevel
